linkage,silhouette,davies_bouldin,calinski_harabasz,time,ari,nmi
ward,0.19538554297645985,1.7243487905594064,766.6294590954557,3.1471121311187744,0.11687949510223328,0.29877827184306444
complete,0.18860060913216828,1.5958117387381057,498.0514462041892,2.11257266998291,0.31037278243545274,0.26219875878348653
average,0.1904937381641357,1.3390583602935955,423.64575714041604,2.616321563720703,0.5342871775280097,0.4217360622298658
single,0.10610927590320775,1.0008556999533609,182.0755544142486,1.9032113552093506,0.061550972736491794,0.09363050963956228
