algorithm,n_clusters,training_time,silhouette_score,davies_bouldin_index,calinski_harabasz_score,inertia,adjusted_rand_index,normalized_mutual_info,homogeneity,completeness,v_measure,linkage,eps,min_samples,n_noise,noise_ratio,noise_anomaly_rate,non_noise_anomaly_rate
K-means,7,2.640212297439575,0.2105853867429696,1.705910976308687,25025.298729676244,2773504.138467933,0.1419966999917603,0.2908331899665611,0.6799686853374226,0.1849749214365963,0.2908331899665611,,,,,,,
Hierarchical,8,2.572874069213867,0.1953855429764598,1.7243487905594064,766.6294590954557,,0.1168794951022332,0.2987782718430644,0.7479090321676234,0.1866763072776636,0.2987782718430644,ward,,,,,,
DBSCAN,609,108.054265499115,0.329711774318713,1.3278858848613917,3197.1107141384346,,0.0035488253255875,0.1541039808436697,0.9988865831216424,0.0834924183196192,0.1541039808436697,,1.4591697352621973,10.0,4678.0,0.0311868745791638,99.74348011970928,17.433130793209514
